descricao,tipo,elemento,tensao_kv,classe,categorias,origens,subsistemas,categoria_principal,origem_principal,eng_gwh,usinas,meses,registros
"Desligamento automático da LT 230 kV 04N3 Igapora III / Pindaí II, SIPER n° 3271-26",outro,LT 230 kV 04N3 Igapora III / Pindaí II,230.0,outro,eletrica,local,NE,eletrica,local,0.1155,5,1,20
LT 500 KV ARINOS 2 / RIO DAS EGUAS C N4 MG/BA,outro,LT 500 kV Arinos 2 / Rio das Eguas C N4 MG/BA,500.0,outro,eletrica,sistemica,SE,eletrica,sistemica,0.1031,1,1,4
Controle de inequação: TR 230 / 69 kV IGAPORA II T2 BA (04T2),Controle de inequação,TR 230 / 69 kV Igapora II T2 BA (04T2),230.0,local,eletrica,local,NE,eletrica,local,0.1023,2,1,4
Controle de inequação: SUB JUAZEIRO DA BAHIA III BA - TR 500 / 230 kV JUAZEIRO III T2 BA (05T2),Controle de inequação,Sub Juazeiro da Bahia III BA - TR 500 / 230 kV Juazeiro III T2 BA (05T2),500.0,local,eletrica,local,NE,eletrica,local,0.0986,2,1,4
FNESE # Fluxo Nordeste/Sudeste,outro,Fluxo Nordeste/Sudeste,,exportacao,eletrica,sistemica,NE,eletrica,sistemica,0.0969,8,1,16
LT 230 KV Itabira 4 / Itabira 5 para contingência dupla das LT 500 KV Itabira 5 / Vespasiano 2 e LT 500 KV Itabira 5 / Neves 1,outro,LT 230 kV Itabira 4 / Itabira 5,230.0,outro,confiabilidade,sistemica,SE,confiabilidade,sistemica,0.0962,1,1,3
"Controle de carregamento: LT 230 kV Ourolândia II/Campo Formoso - C1(C2) - Liberações dos SGIs 50.574-25, 55.686-25 e 51.548-25",Controle de inequação,LT 230 kV Ourolândia II/Campo Formoso,230.0,local,eletrica,local,NE,eletrica,local,0.0959,3,1,9
Desligamento automático da LT 230 KV JANAÚBA 3 / JAÍBA C1 E C2,outro,LT 230 kV Janaúba 3 / Jaíba C1 e C2,230.0,outro,eletrica,local,SE,eletrica,local,0.0955,3,1,6
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV CHAPADA I / CURRAL NOVO DO PIAUÍ II – C1(L3) PARA CONTINGÊNCIA DA LT 230 KV CHAPADA II / PICOS - C1(P1) - IO-ON.NE.2OE,Controle de inequação,LT 230 kV Chapada I / Curral Novo do Piauí II,230.0,local,confiabilidade,local,NE,confiabilidade,local,0.0842,1,2,4
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV CHAPADA I / CURRAL NOVO DO PIAUÍ II – C1(L3) PARA CONTINGÊNCIA DA TRANSFORMAÇÃO 500/230 KV DA SE SÃO JOÃO DO PIAUÍ - IO-ON.NE.2OE,Controle de inequação,LT 230 kV Chapada I / Curral Novo do Piauí II,230.0,local,confiabilidade,local,NE,confiabilidade,local,0.0744,1,1,3
